林俊杰,学不会
林俊杰,加油！
林俊杰,最好是
林俊杰,离开的那一些
林俊杰,暂时的记号
林俊杰,记得
林俊杰,将故事写成我们
林俊杰,黑武士
林俊杰,生生 - (The Beacon)
林俊杰,飞云之下 (Live)
林俊杰,豆浆油条
林俊杰,黑暗骑士
林俊杰,杀手
林俊杰,只对你有感觉
林俊杰,爱不会绝迹 - (动画片《恐龙宝贝》主题曲)
林俊杰,一眼万年
林俊杰,伟大的渺小
林俊杰,关键词
林俊杰,我很想爱他
林俊杰,冻结
林俊杰,黑夜问白天
林俊杰,因你而在
林俊杰,第几个100天
h3R3,他只是经过
h3R3,他只是经过 Blazo ver.
h3R3,I‘M YOURS PT.2
h3R3,逃离
h3R3,戒掉
h3R3,I'M YOURS PT.2 母带版
h3R3,不断Part2（h3R3 remix）
h3R3,他只是经过（伴奏）
h3R3,Cause I
h3R3,带你去海边
h3R3,喜欢不喜欢
h3R3,待
h3R3,NOWAY
h3R3,答应你
h3R3,一首随意的作品
h3R3,Moon
h3R3,一颗苹果
h3R3,?
h3R3,小丑
h3R3,失眠联盟阵线
h3R3,他只是经过 Blazo ver. (INST.)
h3R3,一样Freestyle
h3R3,NOWAY
h3R3,CROWN (Prod.RikeLuxx)
h3R3,Rainbow Money
h3R3,Lights Out
h3R3,还好没去修电脑
h3R3,Eninge
h3R3,intro
h3R3,FAMOUS
h3R3,WISE CHAIN
h3R3,0912
h3R3,遇见你以后
h3R3,Drippin'
h3R3,i feeling
h3R3,Kirby!!!
h3R3,SHIWU
h3R3,你是粉色的
h3R3,可以不可以
Felix Bennett,他只是经过
Felix Bennett,Mission
Felix Bennett,826
Felix Bennett,痕迹
隔壁老樊,多想在平庸的生活拥抱你
隔壁老樊,这一生关于你的风景
隔壁老樊,我曾
隔壁老樊,你的姑娘
隔壁老樊,四块五
隔壁老樊,关于孤独我想说的话 
隔壁老樊,得不到你
隔壁老樊,失乐
隔壁老樊,姬和不如
隔壁老樊,我的姑娘 她在远方
隔壁老樊,别怕 我在
隔壁老樊,世本常态
隔壁老樊,初秋和你
隔壁老樊,少年不识愁滋味
隔壁老樊,你我不一 - (录音室版)
隔壁老樊,醒着醉（翻自 马良） 
隔壁老樊,不找了 （翻自 郭旭） 
隔壁老樊,游
隔壁老樊,淡 (Live) - (我是唱作人2第3期)
隔壁老樊,敬长安
隔壁老樊,重 (Live) - (我是唱作人2第4期)
隔壁老樊,所以爱我 - (录音室版)
隔壁老樊,男孩（Cover 梁博）
隔壁老樊,把爱散落在人间
隔壁老樊,分手跳跃 - (录音室版)
隔壁老樊,我和我的祖国
隔壁老樊,再见 (Live) - (我是唱作人2第7期)
隔壁老樊,如谁所愿
隔壁老樊,魔鬼中的天使（Cover 田馥甄）
隔壁老樊,隔壁老樊 - 天分（隔壁老樊 remix）
隔壁老樊,自有引力 - (长安UNI-T主题曲)
隔壁老樊,过命的弟兄
隔壁老樊,第三种人 - (录音室版)
隔壁老樊,雪暴 - (电影《雪暴》同名宣传曲)
隔壁老樊,逃离 (Live) - (我是唱作人2第11期)
隔壁老樊,天下 (Live)
隔壁老樊,绽放 (Live) - (我是唱作人2第8期)
隔壁老樊,晨曲 (大写中国)
隔壁老樊,我爱祖国的蓝天
隔壁老樊,关于孤独我想说的话（伴奏）
隔壁老樊,游-伴奏
隔壁老樊,雪暴-伴奏
李荣浩,爸爸妈妈
李荣浩,麻雀
李荣浩,年少有为
李荣浩,老街
李荣浩,戒烟
李荣浩,不将就 - (电影《何以笙箫默》片尾主题曲)
李荣浩,在一起嘛好不好
李荣浩,模特
李荣浩,李白
李荣浩,喜剧之王
李荣浩,耳朵
李荣浩,作曲家
李荣浩,不说 - (电影《从你的全世界路过》路过版主题曲)
李荣浩,笑忘书 (Live) - (原唱：王菲)
李荣浩,王牌冤家 (Live)
李荣浩,不搭
李荣浩,我爱你
李荣浩,出卖
李荣浩,要我怎么办
李荣浩,等着等着就老了
李荣浩,两个普普通通小青年
李荣浩,贝贝
李荣浩,二三十
李荣浩,我看着你的时候
李荣浩,老友记
李荣浩,老伴
李荣浩,成长之重量 - (电影《动物世界》成长版片尾曲)
李荣浩,歌谣
李荣浩,歌曲：爸爸妈妈
李荣浩,小芳
李荣浩,有理想
李荣浩,太坦白
李荣浩,同根
李荣浩,念念又不忘
李荣浩,都一样
李荣浩,贫穷或富有
李荣浩,如果我是海
李荣浩,边走边唱
李荣浩,落俗
李荣浩,祝你幸福
李荣浩,自拍
李荣浩,女孩
李荣浩,花样年华 - (In The Mood For Love)
李荣浩,就这样
李荣浩,有一个姑娘
李荣浩,满座
李荣浩,少年
李荣浩,张家明和婉君
李荣浩,后羿 - (游戏《王者荣耀》后羿英雄主打歌)
李荣浩,流行歌曲
华晨宇,好想爱这个世界啊 (Live)
华晨宇,国王与乞丐
华晨宇,烟火里的尘埃
华晨宇,我管你
华晨宇,寒鸦少年 - (电视剧《斗破苍穹》主题曲)
华晨宇,你要相信这不是最后一天
华晨宇,与火星的孩子对话
华晨宇,异类
华晨宇,齐天 - (电影《悟空传》主题曲)
华晨宇,Here We Are  - (电影《使徒行者》主题曲)
华晨宇,疯人院 (Live)
华晨宇,斗牛 (Live)
华晨宇,寻 - (综艺《花儿与少年3·冒险季》主题曲)
华晨宇,无聊人
华晨宇,我们 (Live)
华晨宇,我离孤单几公里
华晨宇,智商二五零 - (手游《王者荣耀》鲁班七号英雄主打歌)
华晨宇,For Forever
华晨宇,蜉蝣
华晨宇,微光 - (Shimmer)
华晨宇,七重人格 (Live)
华晨宇,新世界 (Live)
华晨宇,地球之盐
华晨宇,神树 (Live)
华晨宇,荒野魂斗罗 (Live)
华晨宇,降临 (Live)
华晨宇,我的滑板鞋2016 (录音室版)
华晨宇,我们都是孤独的
华晨宇,西门少年 (Live) - (原唱：李宇春)
华晨宇,卡西莫多的礼物
华晨宇,消失的昨天
华晨宇,造物者
华晨宇,横冲直撞 - (电影《睡在我上铺的兄弟》插曲)
华晨宇,世界是个动物园
华晨宇,To Be Free - (电影《勇士之门》宣传曲)
华晨宇,写给未来的孩子
华晨宇,巨鹿
华晨宇,癌
华晨宇,忧伤的巨人
